asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B019OAWUZ4","SKYLA HOMES Baby Locks (8-Pack) Child Safety Cabinet Proofing - Safe Quick and Easy 3M Adhesive Cabinet Drawer Door Latches No Screws & Magnets Multi-Purpose for Furniture Kitchen Ovens Toilet Seats","$9.99","4.6","37698","","Baby","32","Child Safety Cabinet Locks","1","","","17","1","FBA","$448,649.19","41,633","https://www.amazon.com/dp/B019OAWUZ4","https://images-na.ssl-images-amazon.com/images/I/71ZczEw6opL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.215Z"
"B001OC5UMQ","Regalo Safety 38"" Baby Gate for Doorways & Bottom of Stairs, Pressure Mount Design for Babies, Toddlers & Pets, Tested & Safe for 30 Years, American Designed, American Owned, White","$39.78","4.5","170005","","Baby","65","Door & Stair Baby Gates","1","","","10","3","FBA","$1,500,552.54","35,521","https://www.amazon.com/dp/B001OC5UMQ","https://images-na.ssl-images-amazon.com/images/I/61vUvtejXrL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.216Z"
"B07C2QFVT9","20 Pack Magnetic Cabinet Locks Baby Proofing - Vmaisi Children Proof Cupboard Drawers Latches - Adhesive Easy Installation","$39.99","4.6","19763","","Baby","111","Child Safety Cabinet Locks","2","","","6","1","FBA","$538,862.66","11,940","https://www.amazon.com/dp/B07C2QFVT9","https://images-na.ssl-images-amazon.com/images/I/71X3IvU+bNL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.217Z"
"B00JHKTDQG","Safety 1st Electrical Outlet Baby Proof Covers, Secure Outlet Plugs, Baby Proofing, 36 Count","$4.99","4.8","25358","","Baby","136","Electrical Safety Baby Products","1","","","2","5","AMZ","$45,903.17","7,099","https://www.amazon.com/dp/B00JHKTDQG","https://images-na.ssl-images-amazon.com/images/I/712xj4kARAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.217Z"
"B07MLFKP1G","Cumbor 29.7-46"" Baby Gate for Stairs, Toddler Safety Essentials for The House, Auto Close Dog Gate for Doorways, Mom's Choice Awards Winner-Easy Install Pressure Mounted Pet Gates for Dogs, White","$89.99","4.6","20398","","Baby","184","Door & Stair Baby Gates","2","","","25","1","FBA","$1,785,336.62","17,131","https://www.amazon.com/dp/B07MLFKP1G","https://images-na.ssl-images-amazon.com/images/I/81lRWmHI72L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.218Z"
"B077Y5LHHF","Clear Outlet Covers (50 Pack) Value Pack – Baby Safety Outlet Plug Covers – Durable & Steady – Child Proof Your Outlets Easily","$10.99","4.8","12542","","Baby","196","Electrical Safety Baby Products","2","","","2","1","FBA","$126,928.11","12,808","https://www.amazon.com/dp/B077Y5LHHF","https://images-na.ssl-images-amazon.com/images/I/71jEywC3IGL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.219Z"
"B0CC5WMQFH","Alexa Emergency Assist Monthly (auto-renewal)","$7.99","4.5","1623","","Amazon Devices & Accessories","41","","","","","16","1","N/A","$0.00","N/A","https://www.amazon.com/dp/B0CC5WMQFH","https://images-na.ssl-images-amazon.com/images/I/51pXRVCrrTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.219Z"
"B07GRNTXJZ","Upgraded Invisible Baby Proofing Cabinet Latch Locks (10 Pack) - No Drilling or Tools Required for Installation, Works with Most Cabinets and Drawers, Works with Countertop Overhangs, Highly Secure","$19.99","4.2","18463","","Baby","264","Child Safety Cabinet Locks","3","","","1","2","FBA","$274,757.46","13,745","https://www.amazon.com/dp/B07GRNTXJZ","https://images-na.ssl-images-amazon.com/images/I/71Wz3McQDzL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.220Z"
"B07KWT9LS1","Outlet Covers Babepai 38-Pack White Child Proof Electrical Protector Safety Improved Baby Safety Plug Covers","$7.48","4.6","14326","","Baby","293","Electrical Safety Baby Products","3","","","5","1","FBA","$117,908.26","12,874","https://www.amazon.com/dp/B07KWT9LS1","https://images-na.ssl-images-amazon.com/images/I/61-pIdRZrLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.221Z"
"B01HG7E5R8","Toddleroo by North States - Supergate Ergo Baby Gate: Plastic Baby Gate for Stairs & Doorways - Adjustable Indoor Safety Gate - Made in USA - 26 to 42 Inches Wide - 26 Inches Tall - Sand","$24.99","4.2","13506","","Baby","305","Door & Stair Baby Gates","3","","","2","1","AMZ","$357,635.53","14,478","https://www.amazon.com/dp/B01HG7E5R8","https://images-na.ssl-images-amazon.com/images/I/719CPxYoIFL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.222Z"
"B086ZS4D3D","Booda Brand Furniture Anchors (10 Pack) for Baby Proofing, Furniture Straps Anti Tip Furniture Anchor Securing 400 lbs/Keep Baby Pet Safety from Falling Furniture, Metal White Earthquake Straps","$9.99","4.7","5515","","Baby","334","Child Safety Cabinet Straps","1","","","2","1","FBA","$131,238.85","13,559","https://www.amazon.com/dp/B086ZS4D3D","https://images-na.ssl-images-amazon.com/images/I/61hC0kbgzkL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.222Z"
"B079MB62SB","12 Pack Cabinet Locks Child Safety | Baby Safety Cabinet Locks NO Drilling 3M Adhesive Baby Proof Drawer Lock Child proofing cabinets latches for Kids Latch for Drawers & Door Child Safety Locks","$9.99","4.0","16628","","Baby","337","Child Safety Cabinet Locks","4","","","5","2","FBA","$113,583.38","11,370","https://www.amazon.com/dp/B079MB62SB","https://images-na.ssl-images-amazon.com/images/I/61WJagt+jEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.223Z"
"B000A796WG","North States 5-Way Pet Gate, Model# 8619","$25.74","4.4","1915","","Baby","339","Door & Stair Baby Gates","4","","","1","3","AMZ","$228,918.72","8,894","https://www.amazon.com/dp/B000A796WG","https://images-na.ssl-images-amazon.com/images/I/61uOp4XiUmL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.224Z"
"B0D99JVNVK","Cumbor 29.7-48"" Baby Gate for Stairs, Mom's Choice Awards Winner-Dog Gate for Doorways, Auto Close Safety Pet Gate for Dogs Indoor, Easy Install Pressure Mounted Child Gate with Walk Thru Door, Black","$95.99","4.6","7582","","Baby","403","Door & Stair Baby Gates","5","","","19","1","FBA","$706,087.73","7,120","https://www.amazon.com/dp/B0D99JVNVK","https://images-na.ssl-images-amazon.com/images/I/71C2yFnfFuL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.225Z"
"B0746RGRL3","MYPET North States Paws Portable Pet Gate: 26-40"" Wide. Pressure Mount. No Tools Needed. Made in USA. Dog Gate 23"" Tall, Expandable, Durable Dog Gates for Doorways, Light Gray","$24.99","4.2","49567","","Baby","446","Door & Stair Baby Gates","6","","","2","6","FBA","$272,675.63","10,378","https://www.amazon.com/dp/B0746RGRL3","https://images-na.ssl-images-amazon.com/images/I/51fNq-mFSnL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.226Z"
"B0C1V7SKMS","Ougourim Furniture Anchors (10 Packs) Anti Tip Furniture Anchors for Baby Proofing, Furniture Wall Anchor Earthquake Straps for Furniture Dresser Wall Safety Anchor Furniture Fasteners to Wall, White","$9.89","4.7","1584","","Baby","463","Child Safety Cabinet Straps","2","","","3","2","FBA","$72,859.12","7,756","https://www.amazon.com/dp/B0C1V7SKMS","https://images-na.ssl-images-amazon.com/images/I/61NKJY4t0OL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.226Z"
"B01N7H7J47","Outlet Covers Baby Proofing (50 Pack) Safe & Secure Electric Plug Protectors | Sturdy Childproof Socket Covers for Home & Office | Easy Installation | Protect Toddlers & Babies | White","$9.95","4.8","15937","","Baby","466","Electrical Safety Baby Products","4","","","2","1","FBA","$83,425.26","8,616","https://www.amazon.com/dp/B01N7H7J47","https://images-na.ssl-images-amazon.com/images/I/71aVFvOjJUL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.227Z"
"B07B47PDB4","Vmaisi Adhesive Magnetic Cabinet Locks (12 Locks and 2 Keys)","$25.64","4.5","20701","","Baby","467","Child Safety Cabinet Locks","5","","","4","1","FBA","$105,217.18","3,214","https://www.amazon.com/dp/B07B47PDB4","https://images-na.ssl-images-amazon.com/images/I/71dcSv8+WpL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.228Z"
"B01BTUNHSQ","Safety 1st Easy Install Walk Thru Baby Gate for Doorway With Door, Dog Gates, Fits 29""-38"", Easy Install 28"" Tall, White","$57.98","4.5","27116","","Baby","482","Door & Stair Baby Gates","7","","","5","7","FBA","$615,597.25","11,074","https://www.amazon.com/dp/B01BTUNHSQ","https://images-na.ssl-images-amazon.com/images/I/61JvHDvNjLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.229Z"
"B07TV9QY16","Goodv Child Safety Cabinet Locks - (10 Pack) Baby Proofing Latches to Drawer Door Fridge Oven Toilet Seat Kitchen Cupboard Appliance Trash Can with 3M Adhesive - Adjustable Strap No Drill No Tool","$9.99","4.4","8074","","Baby","503","Child Safety Cabinet Locks","6","","","2","1","FBA","$66,592.15","5,489","https://www.amazon.com/dp/B07TV9QY16","https://images-na.ssl-images-amazon.com/images/I/61jnKZrozRS._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.230Z"
"B0CJXC7YTC","probebi Retractable Baby, Child & Dog Gates for Stairs, Extends to 54"" Wide 34"" Tall, Use for Outdoor, Indoor, Hallways, Doorways, Deck, Porch, Black","$33.99","4.4","1656","","Baby","504","Door & Stair Baby Gates","8","","","8","1","FBA","$286,178.15","7,192","https://www.amazon.com/dp/B0CJXC7YTC","https://images-na.ssl-images-amazon.com/images/I/81VIx+ey+wL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:08:02.231Z"
