asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B019OAWUZ4","SKYLA HOMES Baby Locks (8-Pack) Child Safety Cabinet Proofing - Safe Quick and Easy 3M Adhesive Cabinet Drawer Door Latches No Screws & Magnets Multi-Purpose for Furniture Kitchen Ovens Toilet Seats","$9.99","4.6","37600","Unknown","Baby","26","Child Safety Cabinet Locks","1","","","17","1","FBA","$434,694.17","40,207","https://www.amazon.com/dp/B019OAWUZ4","https://m.media-amazon.com/images/I/71ZczEw6opL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.005Z"
"B09GM8JZM9","HelloBaby No WiFi Baby Monitor HB6550 5"" Screen 30-Hour Battery Pan-Tilt-Zoom Video Upgrade with Camera and Audio, Night Vision, VOX, 2-Way Talk, 1000ft Range and 8 Lullabies","$63.15","4.5","15900","Hong Kong","Baby","53","Video Baby Monitors","1","","","4","2","FBA","$939,360.50","12,689","https://www.amazon.com/dp/B09GM8JZM9","https://m.media-amazon.com/images/I/61qMfoVil5L._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.005Z"
"B0866S3D82","TP-Link Tapo 1080P Indoor Security Camera for Baby Monitor, Dog Camera w/Motion Detection, 2-Way Audio Siren, Night Vision, Cloud & SD Card Storage, Works w/Alexa & Google Home (Tapo C100)","$15.97","4.4","23200","Unknown","Baby","63","Bullet Surveillance Cameras","1","Video Baby Monitors","2","6","5","AMZ","$535,366.60","23,498","https://www.amazon.com/dp/B0866S3D82","https://m.media-amazon.com/images/I/61gJcez9unL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.006Z"
"B0771L5HN5","Corner Protector for Baby, Protectors Guards, Furniture Corner Guard & Edge Safety Bumpers - Baby Proof Bumper Cushion - Clear & Transparent (12 Pack)","$9.98","4.5","59000","USA","Baby","75","Furniture Corner & Edge Safety Bumpers","1","","","3","2","FBA","$268,527.25","23,940","https://www.amazon.com/dp/B0771L5HN5","https://m.media-amazon.com/images/I/817-ee9KSuL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.006Z"
"B07KWT9LS1","Outlet Covers Babepai 38-Pack White Child Proof Electrical Protector Safety Improved Baby Safety Plug Covers","$7.48","4.6","14300","China","Baby","168","Electrical Safety Baby Products","2","","","5","1","FBA","$126,973.56","12,957","https://www.amazon.com/dp/B07KWT9LS1","https://m.media-amazon.com/images/I/61-pIdRZrLL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.006Z"
"B07C2QFVT9","20 Pack Magnetic Cabinet Locks Baby Proofing - Vmaisi Children Proof Cupboard Drawers Latches - Adhesive Easy Installation","$39.99","4.6","19700","China","Baby","82","Child Safety Cabinet Locks","2","","","6","1","FBA","$345,345.85","7,620","https://www.amazon.com/dp/B07C2QFVT9","https://m.media-amazon.com/images/I/71X3IvU+bNL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.007Z"
"B077Y5LHHF","Clear Outlet Covers (50 Pack) Value Pack – Baby Safety Outlet Plug Covers – Durable & Steady – Child Proof Your Outlets Easily","$9.99","4.8","12500","USA","Baby","166","Electrical Safety Baby Products","1","","","2","1","FBA","$110,840.41","11,336","https://www.amazon.com/dp/B077Y5LHHF","https://m.media-amazon.com/images/I/71jEywC3IGL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.007Z"
"B08V8RWP3W","VTech VM819 Video Baby Monitor, 2.8"" Color Screen, 19-Hour Battery Life, 1000ft Long Range, Auto Night Vision, 2-Way Talk, Temperature Sensor, Lullabies, No WiFi Secure Transmission","$41.33","4.5","18300","Unknown","Baby","227","Video Baby Monitors","4","","","7","6","FBA","$50,454.12","1,113","https://www.amazon.com/dp/B08V8RWP3W","https://m.media-amazon.com/images/I/61iOz2nkDNL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.007Z"
"B07GRNTXJZ","Upgraded Invisible Baby Proofing Cabinet Latch Locks (10 Pack) - No Drilling or Tools Required for Installation, Works with Most Cabinets and Drawers, Works with Countertop Overhangs, Highly Secure","$19.99","4.2","18400","Canada","Baby","221","Child Safety Cabinet Locks","3","","","1","2","FBA","$297,754.76","14,895","https://www.amazon.com/dp/B07GRNTXJZ","https://m.media-amazon.com/images/I/71Wz3McQDzL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.008Z"
"B00JEV5UI8","VTech Upgraded Audio Baby Monitor with Rechargeable Battery, Long Range, and Crystal-Clear Sound","$23.95","4.4","48500","Unknown","Baby","294","Audio Baby Monitors","1","","","2","6","FBA","$331,044.30","13,807","https://www.amazon.com/dp/B00JEV5UI8","https://m.media-amazon.com/images/I/61PzyDeMA-L._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.008Z"
"B07JNF1YNK","Mom's Choice Gold Awards Winner - EUDEMON 1 Pack Childproof Oven Door Lock, Oven Front Lock Easy to Install & Heat-Resistant Material no Tools Need or Drill (Black)(ONLY for Flat Surface)","$9.99","4.4","15600","China","Baby","295","Stove Safety Covers & Appliance Latches","1","","","2","1","FBA","$104,643.50","10,475","https://www.amazon.com/dp/B07JNF1YNK","https://m.media-amazon.com/images/I/51Q6g7tbPiL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.009Z"
"B001OC5UMQ","Regalo Safety 38"" Baby Gate for Doorways & Bottom of Stairs, Pressure Mount Design for Babies, Toddlers & Pets, Tested & Safe for 30 Years, American Designed, American Owned, White","$39.78","4.5","169800","Unknown","Baby","67","Door & Stair Baby Gates","1","","","10","4","FBA","$1,491,487.96","35,751","https://www.amazon.com/dp/B001OC5UMQ","https://m.media-amazon.com/images/I/61vUvtejXrL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.009Z"
"B01K3SOW98","Mom's Choice Gold Awards Winner - EUDEMON 4 Pack Baby Safety Door Knob Covers Door Knob Locks(not Suit for All Door knobs)","$9.99","4.4","31500","China","Baby","366","Baby Safety Products","27","","","1","1","FBA","$100,340.49","10,044","https://www.amazon.com/dp/B01K3SOW98","https://m.media-amazon.com/images/I/41FTcNG2jAL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.010Z"
"B0CYCDTZ6G","HelloBaby Baby Monitor 6"" World First IPS Screen 30H Battery, Secure No WiFi, Pan Tilt Video Camera with Night Vision, VOX, 2-Way Talk, 1000ft, Portable Video Audio Monitor Ideal for Mom, Elderly, Pet","$69.99","4.5","1400","Hong Kong","Baby","347","Smart Baby Monitors","1","","","2","1","FBA","$927,441.55","12,100","https://www.amazon.com/dp/B0CYCDTZ6G","https://m.media-amazon.com/images/I/71+Z6E4Z6UL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.010Z"
"B01HG7E5R8","Toddleroo by North States - Supergate Ergo Baby Gate: Plastic Baby Gate for Stairs & Doorways - Adjustable Indoor Safety Gate - Made in USA - 26 to 42 Inches Wide - 26 Inches Tall - Sand","$24.99","4.2","13400","Unknown","Baby","287","Door & Stair Baby Gates","3","","","2","1","AMZ","$341,506.45","13,800","https://www.amazon.com/dp/B01HG7E5R8","https://m.media-amazon.com/images/I/719CPxYoIFL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.010Z"
"B086ZS4D3D","Furniture Anchors (10 Pack) for Baby Proofing, Furniture Straps Anti Tip Furniture Anchor Securing 400 lbs/Keep Baby Pet Safety from Falling Furniture, Metal White Earthquake Straps","$9.99","4.7","5500","China","Baby","293","Child Safety Cabinet Straps","1","","","2","1","FBA","$118,613.64","12,487","https://www.amazon.com/dp/B086ZS4D3D","https://m.media-amazon.com/images/I/61hC0kbgzkL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.011Z"
"B0FCHHZ76X","Huglock - The Snap-On Door Lock Kids Can't Reach or Defeat - No Tools or Adhesives Required - Works With Door Knob, Lever or Handle - Childproof Safety Locks are Toddler, Baby and Child Proof (1 Pack)","$19.98","4.6","399","USA","Baby","299","Baby Safety Products","20","","","3","1","FBA","$298,611.81","14,737","https://www.amazon.com/dp/B0FCHHZ76X","https://m.media-amazon.com/images/I/71DCjPS5wXL._AC_UL320_.jpg","false","false","1","2026-01-28T11:05:18.011Z"
"B01M6416TW","Munchkin® Rinse™ Shampoo Bath Rinser Cup, Ultra Soft and Flexible Rim, Babies, Toddlers and Kids, Grey","$5.79","4.8","21900","Unknown","Baby","445","Kids' Bathroom Safety Products","1","","","3","1","AMZ","$41,887.33","7,234","https://www.amazon.com/dp/B01M6416TW","https://m.media-amazon.com/images/I/51eAvGNu1fL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.012Z"
"B079MB62SB","12 Pack Cabinet Locks Child Safety | Baby Safety Cabinet Locks NO Drilling 3M Adhesive Baby Proof Drawer Lock Child proofing cabinets latches for Kids Latch for Drawers & Door Child Safety Locks","$9.99","4.0","16600","USA","Baby","354","Child Safety Cabinet Locks","4","","","5","2","FBA","$116,520.06","11,664","https://www.amazon.com/dp/B079MB62SB","https://m.media-amazon.com/images/I/61WJagt+jEL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.012Z"
"B07RVGYRL6","Door Lever Lock (2 Pack) – Prevents Toddlers from Opening Doors – Easy One-Hand Operation for Adults – Durable ABS with 3M Adhesive Backing – No Tools Needed for Install","$12.99","4.6","9100","USA","Baby","322","Child Safety Guards & Locks","5","","","2","1","FBA","$120,528.33","9,279","https://www.amazon.com/dp/B07RVGYRL6","https://m.media-amazon.com/images/I/61m+kJtuq6L._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.012Z"
"B0746RGRL3","MYPET North States Paws Portable Pet Gate: 26-40"" Wide. Pressure Mount. No Tools Needed. Made in USA. Dog Gate 23"" Tall, Expandable, Durable Dog Gates for Doorways, Light Gray","$24.99","4.2","49500","Unknown","Baby","358","Door & Stair Baby Gates","4","","","2","6","FBA","$277,707.86","10,423","https://www.amazon.com/dp/B0746RGRL3","https://m.media-amazon.com/images/I/51fNq-mFSnL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.013Z"
"B01BTUNHSQ","Safety 1st Easy Install Walk Thru Baby Gate for Doorway With Door, Dog Gates, Fits 29""-38"", Easy Install 28"" Tall, White","$57.98","4.5","27000","Unknown","Baby","386","Door & Stair Baby Gates","5","","","5","5","FBA","$584,167.33","10,814","https://www.amazon.com/dp/B01BTUNHSQ","https://m.media-amazon.com/images/I/61JvHDvNjLL._AC_UL320_.jpg","true","false","1","2026-01-28T11:05:18.013Z"
